Ocean,Group,Island,Native bird species,Extant Natives,Extinct historic natives,Extinct island endemic,island endemic,extinct non-endemic,non-endemic,Alien bird species,number native bird species threatened ,island area,island elevation,first colonization date,isolation,latitude,exotic mammal species,predators,herbivores,Latitude (Matched),Longitude,Population
Pacific,HawaiianIslands,Oahu,54,25,7,28,40,1,14,37,3,1583.3,1227,1400,3700,21,9,5,4,21.466667, -157.983333,953207
Pacific,Pitcairns,Oeno,12,12,0,0,7,0,5,0,2,0.7,4,1000,5600,-25,0,0,0,-23.926667, -130.737222,0
Pacific,Marianas,Pagan,13,11,2,1,7,1,6,1,1,46.6,579,3000,1800,16,3,3,0,18.116667, 145.766667,0
Pacific,CookIslands,Palmerston,5,5,0,0,3,0,2,1,0,2.6,.,3000,4200,-20,0,0,0,-18.066667, -163.166667,50
Pacific,CookIslands,Penrhyn,9,9,0,0,3,0,6,0,0,9.8,.,3000,4200,-20,2,2,0,-9.005556, -157.969444,213
Pacific,Galapagos,Pinzon,18,18,0,0,12,0,6,0,1,17.95,458,465,960,0,1,1,0,-0.6, -90.65,0
Pacific,Pitcairns,Pitcairn,6,5,1,0,4,1,2,1,1,4.2,347,1000,5600,-25,3,2,1,-25.066667, -130.1,67
Pacific,CookIslands,Pukapuka,7,7,0,0,3,0,4,0,0,7,4,3000,4200,-20,0,0,0,-10.883333, -165.85,500
Pacific,CookIslands,Rakahanga,4,4,0,0,1,0,3,0,0,4,.,3000,4200,-20,0,0,0,-10.033333, -161.083333,127
Pacific,CookIslands,Rarotonga,11,9,2,2,9,0,2,2,3,67.6,653,3000,4200,-20,4,4,0,-21.233333, -159.783333,12188
Pacific,Marianas,Rota,15,13,2,0,7,2,8,5,1,95.7,491,3000,1800,16,3,3,0,14.153611, 145.203056,3283
Pacific,Marianas,Saipan,18,17,1,0,8,1,10,4,2,122.9,474,3000,1800,16,4,4,0,15.183333, 145.75,48220
Pacific,Galapagos,SanCristobal,40,37,3,3,17,0,23,0,1,546.6,896,465,960,0,7,4,3,-0.8, -89.4,6000
Pacific,Galapagos,SantaCruz,39,38,1,1,19,0,20,0,3,979.3,864,465,960,0,8,5,3,-0.633333, -90.366667,2
Pacific,Galapagos,SantaFé,19,19,0,0,13,0,6,0,1,24.08,259,465,960,0,2,1,1,-0.82, -90.06,0?
Pacific,Galapagos,Santiago,36,36,0,0,21,0,15,0,4,.,.,465,960,0,6,4,2,-0.25, -90.7,273919
Pacific,Marianas,Sarigan,5,5,0,0,4,0,1,0,1,4.9,549,3000,1800,16,1,0,1,16.7, 145.783333,0
Pacific,SocietyIslands,Scilly,6,6,0,0,1,0,5,0,1,.,.,3000,4400,-17,0,0,0,-16.516667, -154.7,2200
Pacific,Australasia,Snares,22,22,0,0,9,0,13,6,2,3.41,152,.,.,.,1,0,1,-48.016667, 166.533333,0
Pacific,Australasia,Solander,16,16,0,0,9,0,7,4,2,1,330,.,.,.,0,0,0,-46.566667, 166.883333,0
Pacific,NZ,South,113,61,18,45,85,7,28,29,18,145836.4,3764,800,1500,-43,22,10,12,-43.983333, 170.45,1048200
Pacific,CookIslands,Suwarrow,11,11,0,0,2,0,9,0,0,1.7,3,3000,4200,-20,1,1,0,-13.269167, -163.111389,0
Pacific,SocietyIslands,Tahiti,22,15,7,7,16,0,6,11,4,1068.8,2241,3000,4400,-17,5,3,2,-17.666667, -149.416667,178133
Pacific,CookIslands,Takutea,8,8,0,0,2,0,6,0,0,1.3,.,3000,4200,-20,0,0,0,-19.813056, -158.294167,0
Pacific,SocietyIslands,Tetiaroa,6,6,0,0,0,0,6,1,0,12.8,3,3000,4400,-17,0,0,0,-17, -149.55,1
Pacific,Marianas,Tinian,15,14,1,0,6,1,9,4,0,102,170,3000,1800,16,7,4,3,15, 145.633333,3136
Pacific,SocietyIslands,Tupai,1,1,0,0,1,0,0,0,0,21,.,3000,4400,-17,0,0,0,-16.283333, -151.833333,0
Pacific,Marianas,Uracas,6,6,0,0,3,0,3,0,1,.,.,3000,1800,16,0,0,0,20.545, 144.893611,0
